output_metric,parameter,standardized_coefficient,absolute_coefficient,rank_abs_coefficient,subsystem
hybrid_pd,dual_outage_duration_min,-0.036127003423358076,0.036127003423358076,14,Mission outage
hybrid_pfa,pseudorange_noise_std_m,0.030837800980519636,0.030837800980519636,1,GNSS measurement
hybrid_pfa,accelerometer_noise_std_mps2,-0.006468897329208082,0.006468897329208082,8,Accelerometer
hybrid_pfa,accelerometer_bias_x_mps2,0.0019300001541291668,0.0019300001541291668,23,Accelerometer
hybrid_pfa,accelerometer_bias_y_mps2,0.007010898777754571,0.007010898777754571,7,Accelerometer
hybrid_pfa,accelerometer_bias_z_mps2,0.011125534909064797,0.011125534909064797,2,Accelerometer
hybrid_pfa,gyro_noise_std_degps,0.005048755998405015,0.005048755998405015,11,Gyroscope
hybrid_pfa,gyro_bias_x_degps,-0.011023127911157673,0.011023127911157673,3,Gyroscope
hybrid_pfa,gyro_bias_y_degps,0.004304072834706309,0.004304072834706309,15,Gyroscope
hybrid_pfa,gyro_bias_z_degps,0.0019388969041799098,0.0019388969041799098,22,Gyroscope
hybrid_pfa,star_tracker_noise_std_deg,0.009396237507373574,0.009396237507373574,5,Star tracker
hybrid_pfa,initial_position_error_x_m,0.00461959277584205,0.00461959277584205,14,Initial state
hybrid_pfa,initial_position_error_y_m,0.010155348398887182,0.010155348398887182,4,Initial state
hybrid_pfa,initial_position_error_z_m,-0.007075473975331119,0.007075473975331119,6,Initial state
hybrid_pfa,initial_velocity_error_x_mps,-0.0033887797148670494,0.0033887797148670494,17,Initial state
hybrid_pfa,initial_velocity_error_y_mps,-0.004010465525271993,0.004010465525271993,16,Initial state
hybrid_pfa,initial_velocity_error_z_mps,0.005092495855890893,0.005092495855890893,10,Initial state
hybrid_pfa,non_gravitational_acceleration_mps2,-0.0024466769031162563,0.0024466769031162563,21,Orbital disturbance
hybrid_pfa,fault_magnitude_m,0.003264595356620618,0.003264595356620618,18,GNSS fault
hybrid_pfa,fault_start_min,-0.0046652378176702605,0.0046652378176702605,13,GNSS fault
hybrid_pfa,fault_duration_min,0.0031364081281219673,0.0031364081281219673,20,GNSS fault
hybrid_pfa,gnss_outage_duration_min,-0.004866459094218475,0.004866459094218475,12,Mission outage
hybrid_pfa,star_tracker_outage_duration_min,0.005515398286549519,0.005515398286549519,9,Mission outage
