phase_name,initial_true_anomaly_deg,replicate_index,scenario_seed,altitude_km,inclination_deg,dual_outage_start_min,dual_outage_end_min,dual_outage_duration_min,navigation_estimator_requested_start_min,navigation_estimator_start_min,navigation_estimator_start_index,navigation_estimator_age_at_outage_min,navigation_estimator_active_pre_outage_epochs,navigation_estimator_updates_before_outage,time_sync_error_s,natural_visible_satellites_min,natural_visible_satellites_mean,pre_outage_satellites,pre_outage_pdop,pre_outage_update_age_s,healthy_false_alarm_rate,pre_outage_rmse_m,mission_rmse_m,outage_rmse_m,outage_start_error_m,outage_end_error_m,outage_start_sigma_m,outage_end_sigma_m,post_recovery_rmse_m,final_error_m,navigation_nis_mean,navigation_nis_coverage_percent,attitude_outage_rmse_deg,attitude_end_outage_deg,experiment_estimator_age_min,experiment_estimator_start_min,experiment_outage_start_min,experiment_outage_end_min,experiment_outage_duration_min,fixed_initial_true_anomaly_deg,estimator_control_kind,estimator_control_name,estimator_control_mode,estimator_control_value
PHASE_000,0.0,6,170506,550.0,97.6,60.0,75.0,15.0,55.0,55.0,330,5.0,30,29,0.0,12,14.028395061728395,16,0.8251189207572628,10.0,0.9876543209876543,,,4.82997630215871,1.2954872607337928,7.592004079508828,0.9467149457851287,8.070312034080318,0.9764659791442953,0.2119893821665664,2.8997808415847213,96.04166666666667,0.04006728949490621,0.057881335504846684,5.0,55.0,60.0,75.0,15.0,0.0,function_parameter,estimator_start_min,start_min,55.0
PHASE_000,0.0,6,170506,550.0,97.6,60.0,75.0,15.0,45.0,45.0,270,15.0,90,89,0.0,12,14.028395061728395,16,0.8251189207572628,10.0,0.9876543209876543,14.931380832612453,,2.12753574674673,0.6840305173881722,3.7121375087419017,0.6738565866023586,5.682130664695093,0.9121914506656833,0.22008021496325497,2.865292116884729,95.18518518518519,0.04006728949490621,0.057881335504846684,15.0,45.0,60.0,75.0,15.0,0.0,function_parameter,estimator_start_min,start_min,45.0
PHASE_000,0.0,6,170506,550.0,97.6,60.0,75.0,15.0,30.0,30.0,180,30.0,180,179,0.0,12,14.028395061728395,16,0.8251189207572628,10.0,0.9876543209876543,0.5588753377756428,,2.110431103675259,0.7444904328682185,3.3447927332502148,0.5621296835394092,2.6658734510965187,0.9813934380495949,0.20891832351435127,2.9035149352913963,95.87301587301587,0.04006728949490621,0.057881335504846684,30.0,30.0,60.0,75.0,15.0,0.0,function_parameter,estimator_start_min,start_min,30.0
PHASE_000,0.0,6,170506,550.0,97.6,60.0,75.0,15.0,15.0,15.0,90,45.0,270,269,0.0,12,14.028395061728395,16,0.8251189207572628,10.0,0.9876543209876543,0.6391024884204102,,2.171560538805541,0.7906015545079972,3.7170222552457237,0.4613091253678293,1.6202685121283955,0.6575640656441949,0.14160173113098204,2.899673994348128,95.55555555555556,0.04006728949490621,0.057881335504846684,45.0,15.0,60.0,75.0,15.0,0.0,function_parameter,estimator_start_min,start_min,15.0
PHASE_000,0.0,6,170506,550.0,97.6,60.0,75.0,15.0,0.0,0.0,0,60.0,360,359,0.0,12,14.028395061728395,16,0.8251189207572628,10.0,0.9876543209876543,0.4312347259279531,0.5299620384778089,0.6101819041314452,0.3028839159960321,0.9675990963126462,0.38938627977052487,1.131708949304249,0.4919209338779087,0.14212796692534535,2.9172015890459035,95.92592592592592,0.04006728949490621,0.057881335504846684,60.0,0.0,60.0,75.0,15.0,0.0,function_parameter,estimator_start_min,start_min,0.0
PHASE_000,0.0,7,170507,550.0,97.6,60.0,75.0,15.0,55.0,55.0,330,5.0,30,29,0.0,12,14.028395061728395,16,0.8251189248652924,10.0,0.9876543209876543,,,2.3156397195504232,0.6619332500549361,3.4732555817475292,0.9467149269966885,8.070458468567153,0.7054200390464734,0.06095808902755621,2.884440352492015,95.41666666666667,0.02921681911170809,0.03771409899175989,5.0,55.0,60.0,75.0,15.0,0.0,function_parameter,estimator_start_min,start_min,55.0
PHASE_000,0.0,7,170507,550.0,97.6,60.0,75.0,15.0,45.0,45.0,270,15.0,90,88,0.0,12,14.028395061728395,16,0.8251189248652924,10.0,0.9876543209876543,14.929153078026477,,0.6408514186893799,0.35349883980695485,1.070411901278186,0.6742515531298103,5.691690472950231,0.6964319252617379,0.11986846071968871,2.9335412702032335,95.73283858998145,0.02921681911170809,0.03771409899175989,15.0,45.0,60.0,75.0,15.0,0.0,function_parameter,estimator_start_min,start_min,45.0
PHASE_000,0.0,7,170507,550.0,97.6,60.0,75.0,15.0,30.0,30.0,180,30.0,180,178,0.0,12,14.028395061728395,16,0.8251189248652924,10.0,0.9876543209876543,0.4688156551528203,,0.8526768703567257,0.4435474854572436,1.3274717927115682,0.5621945632437616,2.667831721900453,0.634126513624991,0.18744232516961534,3.0068863690279737,94.75357710651828,0.02921681911170809,0.03771409899175989,30.0,30.0,60.0,75.0,15.0,0.0,function_parameter,estimator_start_min,start_min,30.0
PHASE_000,0.0,7,170507,550.0,97.6,60.0,75.0,15.0,15.0,15.0,90,45.0,270,268,0.0,12,14.028395061728395,16,0.8251189248652924,10.0,0.9876543209876543,0.5160906560626306,,1.9355098193833251,0.658207139635445,3.3310525793666756,0.4618922455281709,1.6212312574477339,0.6287516228871036,0.12839347485250108,2.9633654601238972,94.99304589707927,0.02921681911170809,0.03771409899175989,45.0,15.0,60.0,75.0,15.0,0.0,function_parameter,estimator_start_min,start_min,15.0
PHASE_000,0.0,7,170507,550.0,97.6,60.0,75.0,15.0,0.0,0.0,0,60.0,360,358,0.0,12,14.028395061728395,16,0.8251189248652924,10.0,0.9876543209876543,0.3973101511186936,0.4198953363284971,0.3888678257662645,0.24732125535479274,0.5009143893538793,0.3902350194902556,1.1332980194636868,0.25437987218536273,0.14606252066452668,3.0262689095183535,95.17923362175526,0.02921681911170809,0.03771409899175989,60.0,0.0,60.0,75.0,15.0,0.0,function_parameter,estimator_start_min,start_min,0.0
