phase_name,initial_true_anomaly_deg,replicate_index,scenario_seed,altitude_km,inclination_deg,dual_outage_start_min,dual_outage_end_min,dual_outage_duration_min,time_sync_error_s,natural_visible_satellites_min,natural_visible_satellites_mean,pre_outage_satellites,pre_outage_pdop,pre_outage_update_age_s,healthy_false_alarm_rate,pre_outage_rmse_m,mission_rmse_m,outage_rmse_m,outage_start_error_m,outage_end_error_m,outage_start_sigma_m,outage_end_sigma_m,post_recovery_rmse_m,final_error_m,navigation_nis_mean,navigation_nis_coverage_percent,attitude_outage_rmse_deg,attitude_end_outage_deg
PHASE_225,225.0,3,170303,550.0,97.6,60.0,75.0,15.0,0.0,12,13.897530864197531,14,0.9169834213376256,10.0,0.7407407407407408,0.24595750959042753,0.44273194222610873,0.2067234771018313,0.08956436472738948,0.34808494077646557,0.44670071716165505,1.2982682722573056,0.2583442246592158,0.06596270342958935,2.925098511722759,95.06172839506173,0.0751771147714301,0.08211542909407527
PHASE_270,270.0,3,170303,550.0,97.6,60.0,75.0,15.0,0.0,12,13.801234567901234,14,0.8801711943534941,10.0,0.3703703703703704,0.5264803136321644,0.47127168623759724,0.8653172098889782,0.522000585727312,1.2583885445150096,0.424859789993623,1.2105513244275055,0.3806548737543525,0.06796604798644167,2.976953135118552,95.55555555555556,0.07524887244999721,0.08239519386253823
PHASE_315,315.0,3,170303,550.0,97.6,60.0,75.0,15.0,0.0,12,13.74074074074074,16,0.7935420119526894,10.0,0.7407407407407408,0.4836164045646292,0.5648553828432998,1.1933507990198065,0.521091222585638,1.9112839399813213,0.40279781242004503,1.2028014432091292,0.40810849773910435,0.18165877564839933,2.9519973715884453,94.32098765432099,0.07524479638531743,0.08225261971610807
PHASE_000,0.0,4,170304,550.0,97.6,60.0,75.0,15.0,0.0,12,14.028395061728395,16,0.8251189335565032,10.0,0.49382716049382713,0.20969536812492598,0.3594833967467307,0.17908702407344212,0.18525681958596454,0.2445970431783826,0.38940390042692735,1.132002420677063,0.446594065512248,0.05750813335019219,2.974486997471994,95.30864197530863,0.0635693091216458,0.11221486379185064
PHASE_045,45.0,4,170304,550.0,97.6,60.0,75.0,15.0,0.0,12,14.044444444444444,14,0.9178044125973498,10.0,1.4814814814814816,0.49972486291504414,0.6319629179546259,1.4407789054277467,0.7535950636820764,2.167608566415056,0.44387282092355135,1.3074814623171362,0.33027823717058535,0.5371038727846917,3.0129071739248063,95.92592592592592,0.06360265809685363,0.11208706223902952
PHASE_090,90.0,4,170304,550.0,97.6,60.0,75.0,15.0,0.0,12,13.9679012345679,13,0.9737904780892338,10.0,0.8641975308641975,0.6329246032453868,0.5315695173095261,0.6462042474731614,0.31996365890230344,0.9399390153530922,0.4301314987669383,1.2275687955870462,0.42228184447547634,0.18415133382956886,3.027234972685335,95.80246913580247,0.0636739835631768,0.11207383867237278
PHASE_135,135.0,4,170304,550.0,97.6,60.0,75.0,15.0,0.0,12,13.834567901234568,16,0.79462520374204,10.0,0.8641975308641975,0.38055922250916796,0.4431505708607753,0.5372644585884371,0.40550405962994135,0.6135034618369068,0.4220282030404081,1.2434704926236215,0.4562048661327234,0.4594672555985632,2.9985001136787957,96.17283950617283,0.0637280898570151,0.1121759676129843
PHASE_180,180.0,4,170304,550.0,97.6,60.0,75.0,15.0,0.0,12,14.040740740740741,14,0.9632701300590132,10.0,0.9876543209876543,0.3569377769921688,0.48498198568665524,0.878876592754517,0.4533035294853667,1.3387544210239974,0.3935870724321374,1.1313921911004021,0.4816438955189136,0.2537396674747193,2.9996267881578498,94.31396786155747,0.0636866772506919,0.11232732053691538
PHASE_225,225.0,4,170304,550.0,97.6,60.0,75.0,15.0,0.0,12,13.897530864197531,14,0.9169834247000139,10.0,0.8641975308641975,0.20178351985779192,0.43312061965259147,0.3442551007623014,0.21775583557236164,0.5026318004985547,0.4466469198163445,1.298594980341495,0.6148372293400565,0.33697004741659076,3.063909479433626,95.67901234567901,0.06358621024067035,0.11245186887729407
PHASE_270,270.0,4,170304,550.0,97.6,60.0,75.0,15.0,0.0,12,13.801234567901234,14,0.880171188594214,10.0,0.8641975308641975,0.6199452260894075,0.5093327904261586,0.6938527282096373,0.41242150445121034,0.9396281871699107,0.4247041857226368,1.2102505065589722,0.48624847295282975,0.3185143297004761,3.0208316167897196,94.32098765432099,0.06352848928711544,0.11248344305393038
PHASE_315,315.0,4,170304,550.0,97.6,60.0,75.0,15.0,0.0,12,13.74074074074074,16,0.793542018061727,10.0,1.1111111111111112,0.3839733224028219,0.4659892189350592,0.4739983892504185,0.3108718907161958,0.5909674200803119,0.40260919606630324,1.2022942515740973,0.43466170108149116,0.34405808273090077,2.9600518638327005,95.67901234567901,0.0635411099075363,0.11238550881269525
PHASE_000,0.0,5,170305,550.0,97.6,60.0,75.0,15.0,0.0,12,14.028395061728395,16,0.8251189287299578,10.0,0.9876543209876543,0.4838285427518788,0.5183098490404072,0.2917892875242467,0.1986599934787785,0.4619007313417169,0.3894080071634265,1.131782888345751,0.5915663699388036,0.09615768483109631,2.924937202387629,95.55555555555556,0.07874179646054587,0.08612277802388942
PHASE_045,45.0,5,170305,550.0,97.6,60.0,75.0,15.0,0.0,12,14.044444444444444,14,0.9178043906175029,10.0,1.9753086419753085,0.37678233427364277,0.447056937158516,0.21148909456685322,0.08340312635107816,0.37676725556209534,0.44476898049215613,1.3105406025102186,0.417040954206951,0.15246710147833537,3.0407048184476246,94.44444444444444,0.07875580985350628,0.08617684851588549
PHASE_090,90.0,5,170305,550.0,97.6,60.0,75.0,15.0,0.0,12,13.9679012345679,13,0.9737904154156005,10.0,1.8518518518518516,0.6322407672892051,0.48006083983450837,0.4301558487105643,0.2852196913786025,0.6029838942018816,0.43047070709610896,1.2283610570229826,0.38597698687879006,0.2101322484350558,2.966532958326741,92.7070457354759,0.0787623293311238,0.08620431120490643
PHASE_135,135.0,5,170305,550.0,97.6,60.0,75.0,15.0,0.0,12,13.834567901234568,16,0.7946252007303765,10.0,1.6049382716049383,0.4534839651440191,0.4725415443798615,0.7814114200432131,0.4988323575004029,1.1397051171341335,0.4223959853625222,1.2442456911251054,0.5117584025111557,0.3514275737334453,3.095033687891734,94.32098765432099,0.07875860028364959,0.08618959451119008
PHASE_180,180.0,5,170305,550.0,97.6,60.0,75.0,15.0,0.0,12,14.040740740740741,14,0.9632701543540833,10.0,0.7407407407407408,0.44586990206515653,0.5744236475641336,1.1142517449761438,0.5490896802566843,1.657145327546161,0.3936255963088621,1.1314695670983745,0.5048650157070409,0.1013243171297152,3.046076782319093,96.04449938195303,0.07874705425287838,0.08613494576409864
PHASE_225,225.0,5,170305,550.0,97.6,60.0,75.0,15.0,0.0,12,13.897530864197531,14,0.9169833982810787,10.0,1.6049382716049383,0.4168362448589732,0.4631111958207273,0.5326187810331877,0.41156562244993183,0.6525871436634374,0.44675693227479624,1.2982706848594425,0.3303743599059549,0.24137613540755432,2.9696382224767714,96.04449938195303,0.07873309315610287,0.08606938781572335
