phase_name,initial_true_anomaly_deg,replicate_index,scenario_seed,altitude_km,inclination_deg,dual_outage_start_min,dual_outage_end_min,dual_outage_duration_min,navigation_estimator_requested_start_min,navigation_estimator_start_min,navigation_estimator_start_index,navigation_estimator_age_at_outage_min,navigation_estimator_active_pre_outage_epochs,navigation_estimator_updates_before_outage,time_sync_error_s,natural_visible_satellites_min,natural_visible_satellites_mean,pre_outage_satellites,pre_outage_pdop,pre_outage_update_age_s,healthy_false_alarm_rate,pre_outage_rmse_m,mission_rmse_m,outage_rmse_m,outage_start_error_m,outage_end_error_m,outage_start_sigma_m,outage_end_sigma_m,post_recovery_rmse_m,final_error_m,navigation_nis_mean,navigation_nis_coverage_percent,attitude_outage_rmse_deg,attitude_end_outage_deg,experiment_outage_start_min,experiment_outage_end_min,experiment_outage_duration_min,experiment_post_recovery_end_min,experiment_estimator_start_min,fixed_initial_true_anomaly_deg
PHASE_000,0.0,2,170602,550.0,97.6,60.0,65.0,5.0,0.0,0.0,0,60.0,360,358,0.0,12,14.024137931034483,16,0.8251189333111119,10.0,1.0344827586206897,0.2878761291869573,0.4071959820020337,0.3515037657092112,0.28014383048790054,0.42085370370625214,0.3897158179226707,0.5610191645181212,0.40553698740787536,0.16642741342875153,3.1266594956080094,94.47640966628308,0.03308598526012078,0.03623659350932327,60.0,65.0,5.0,80.0,0.0,0.0
PHASE_000,0.0,2,170602,550.0,97.6,60.0,70.0,10.0,0.0,0.0,0,60.0,360,358,0.0,12,14.039285714285715,16,0.8251189333111119,10.0,0.9523809523809524,0.2878761291869573,0.42579303646991196,0.4406924830215482,0.28014383048790054,0.6068780006319809,0.3897158179226707,0.807241415597733,0.5414524214442268,0.2845857914881185,3.0800284357442758,95.35160905840286,0.03236556230782062,0.024274333023245533,60.0,70.0,10.0,85.0,0.0,0.0
PHASE_000,0.0,2,170602,550.0,97.6,60.0,75.0,15.0,0.0,0.0,0,60.0,360,358,0.0,12,14.028395061728395,16,0.8251189333111119,10.0,0.6172839506172839,0.2878761291869573,0.42716977501154607,0.5586378930127427,0.28014383048790054,0.8760363803378396,0.3897158179226707,1.1333259766156554,0.6660814410123582,0.4487026288061005,3.024307156077343,95.55006180469717,0.031069585869200108,0.03092037443741606,60.0,75.0,15.0,90.0,0.0,0.0
PHASE_000,0.0,2,170602,550.0,97.6,60.0,80.0,20.0,0.0,0.0,0,60.0,360,358,0.0,12,14.037179487179488,16,0.8251189333111119,10.0,1.0256410256410255,0.2878761291869573,0.447478594564208,0.7259136319065038,0.28014383048790054,1.2892150780025773,0.3897158179226707,1.5461279266053065,0.5429193420646004,0.14179228775137426,3.053307690939816,95.1219512195122,0.039357889106757,0.06921140654784681,60.0,80.0,20.0,95.0,0.0,0.0
PHASE_000,0.0,2,170602,550.0,97.6,60.0,90.0,30.0,0.0,0.0,0,60.0,360,358,0.0,12,13.9375,16,0.8251189333111119,10.0,1.1111111111111112,0.2878761291869573,0.6826878652616288,1.27805947251861,0.28014383048790054,2.6540255764350964,0.3897158179226707,2.631407169642621,0.5471087843770189,0.23411531517843265,3.045977829229964,94.84679665738162,0.05461454906861017,0.10244432195290379,60.0,90.0,30.0,105.0,0.0,0.0
PHASE_000,0.0,3,170603,550.0,97.6,60.0,65.0,5.0,0.0,0.0,0,60.0,360,359,0.0,12,14.024137931034483,16,0.8251189314934398,10.0,0.5747126436781609,0.4344455322406586,0.475162004559565,0.5113674471917058,0.4566764128863431,0.5809151734160348,0.38941363571918347,0.5604866741503629,0.5178195815865381,0.14085460485852608,3.0430617872954335,94.70655926352129,0.040974387048853055,0.06277250735585209,60.0,65.0,5.0,80.0,0.0,0.0
PHASE_000,0.0,3,170603,550.0,97.6,60.0,70.0,10.0,0.0,0.0,0,60.0,360,359,0.0,12,14.039285714285715,16,0.8251189314934398,10.0,0.8333333333333334,0.4344455322406586,0.4534356937370507,0.621562095131631,0.4566764128863431,0.8602759569279566,0.38941363571918347,0.806399784902841,0.2388131983369863,0.3505995966518724,2.9367275622477975,93.69047619047619,0.06790871600726246,0.08982366488111247,60.0,70.0,10.0,85.0,0.0,0.0
PHASE_000,0.0,3,170603,550.0,97.6,60.0,75.0,15.0,0.0,0.0,0,60.0,360,359,0.0,12,14.028395061728395,16,0.8251189314934398,10.0,0.6172839506172839,0.4344455322406586,0.5074651984555716,0.8092962411562612,0.4566764128863431,1.3203483300500285,0.38941363571918347,1.132106382142458,0.3993967937851752,0.2100800403901615,2.9325837407771633,93.82716049382715,0.07583986548323597,0.09791073051400707,60.0,75.0,15.0,90.0,0.0,0.0
PHASE_000,0.0,3,170603,550.0,97.6,60.0,80.0,20.0,0.0,0.0,0,60.0,360,359,0.0,12,14.037179487179488,16,0.8251189314934398,10.0,0.641025641025641,0.4344455322406586,0.5918025759589609,1.0776917984112746,0.4566764128863431,1.9401828291620284,0.38941363571918347,1.5444633129073606,0.5142745399277662,0.35942012697976444,2.9109143276306453,93.58974358974359,0.09101833377825938,0.16264168209462038,60.0,80.0,20.0,95.0,0.0,0.0
PHASE_000,0.0,3,170603,550.0,97.6,60.0,90.0,30.0,0.0,0.0,0,60.0,360,359,0.0,12,13.9375,16,0.8251189314934398,10.0,0.4166666666666667,0.4344455322406586,0.9383389258671567,1.838414004664412,0.4566764128863431,3.6317551212331516,0.38941363571918347,2.62866956259111,0.3099091165756765,0.21331861897054205,2.8943529506267422,95.0,0.10872619034568162,0.11007852419730056,60.0,90.0,30.0,105.0,0.0,0.0
