phase_name,initial_true_anomaly_deg,replicate_index,scenario_seed,altitude_km,inclination_deg,dual_outage_start_min,dual_outage_end_min,dual_outage_duration_min,navigation_estimator_requested_start_min,navigation_estimator_start_min,navigation_estimator_start_index,navigation_estimator_age_at_outage_min,navigation_estimator_active_pre_outage_epochs,navigation_estimator_updates_before_outage,time_sync_error_s,natural_visible_satellites_min,natural_visible_satellites_mean,pre_outage_satellites,pre_outage_pdop,pre_outage_update_age_s,healthy_false_alarm_rate,pre_outage_rmse_m,mission_rmse_m,outage_rmse_m,outage_start_error_m,outage_end_error_m,outage_start_sigma_m,outage_end_sigma_m,post_recovery_rmse_m,final_error_m,navigation_nis_mean,navigation_nis_coverage_percent,attitude_outage_rmse_deg,attitude_end_outage_deg,experiment_estimator_age_min,experiment_estimator_start_min,experiment_outage_start_min,experiment_outage_duration_min,experiment_outage_end_min,experiment_post_recovery_end_min,fixed_initial_true_anomaly_deg
PHASE_000,0.0,4,170704,550.0,97.6,60.0,75.0,15.0,0.0,0.0,0,60.0,360,359,0.0,12,14.028395061728395,16,0.8251188981946305,10.0,0.8641975308641975,0.531680986779225,0.6214135083124048,0.9530057344832326,0.47544826381765937,1.5247789106915401,0.3899703549665605,1.133213840633306,0.5575525940828139,0.14273630749603256,3.0346819538970804,95.80246913580247,0.05810318834295854,0.10963165521518309,60.0,0.0,60.0,15.0,75.0,90.0,0.0
PHASE_000,0.0,4,170704,550.0,97.6,60.0,90.0,30.0,55.0,55.0,330,5.0,30,29,0.0,12,13.9375,16,0.8251188981946305,10.0,1.3888888888888888,,,9.394425804419988,0.9730025484692219,20.639211045323535,0.949133536858618,24.092762048687742,1.1121565957412227,0.5051879343739186,2.8862586796619336,96.41025641025641,0.09740801419208443,0.14964960789649043,5.0,55.0,60.0,30.0,90.0,105.0,0.0
PHASE_000,0.0,4,170704,550.0,97.6,60.0,90.0,30.0,30.0,30.0,180,30.0,180,179,0.0,12,13.9375,16,0.8251188981946305,10.0,1.3888888888888888,0.9021464672901592,,3.3687224125907655,0.7587721236232715,5.126611834721436,0.5629887355254275,7.424711864287567,0.7191022426090581,0.5300298225135622,2.960533278651024,94.62962962962963,0.09740801419208443,0.14964960789649043,30.0,30.0,60.0,30.0,90.0,105.0,0.0
PHASE_000,0.0,4,170704,550.0,97.6,60.0,90.0,30.0,0.0,0.0,0,60.0,360,359,0.0,12,13.9375,16,0.8251188981946305,10.0,1.3888888888888888,0.531680986779225,1.1202241541788838,2.076077951092747,0.47544826381765937,4.091473299279906,0.3899703549665605,2.629630297274063,0.7456875675091712,0.5079735058864241,2.9835563538783503,95.27777777777777,0.09740801419208443,0.14964960789649043,60.0,0.0,60.0,30.0,90.0,105.0,0.0
PHASE_000,0.0,5,170705,550.0,97.6,60.0,75.0,15.0,55.0,55.0,330,5.0,30,29,0.0,12,14.028395061728395,16,0.825118919521577,10.0,0.8641975308641975,,,1.4140637419331092,0.5015053153079024,2.3006851601994587,0.9499949808840916,8.08467749178086,0.7981507385000238,0.0723836216984114,3.0347670492055427,94.79166666666666,0.043906106236633845,0.045370252242024,5.0,55.0,60.0,15.0,75.0,90.0,0.0
PHASE_000,0.0,5,170705,550.0,97.6,60.0,75.0,15.0,30.0,30.0,180,30.0,180,179,0.0,12,14.028395061728395,16,0.825118919521577,10.0,0.8641975308641975,0.5683267780673558,,0.7746956180323246,0.37622299431330486,1.2514242707327334,0.5631864167668238,2.6684317022467927,0.49031376775355273,0.11370213442324126,2.979893097437409,94.44444444444444,0.043906106236633845,0.045370252242024,30.0,30.0,60.0,15.0,75.0,90.0,0.0
PHASE_000,0.0,5,170705,550.0,97.6,60.0,75.0,15.0,0.0,0.0,0,60.0,360,359,0.0,12,14.028395061728395,16,0.825118919521577,10.0,0.8641975308641975,0.33313758115271436,0.3949316426643723,0.4152000558978386,0.29575606189615716,0.5226789239964293,0.39029571268757635,1.1340621199410141,0.36416111950498564,0.0916003372266078,2.9851274052982655,93.33333333333333,0.043906106236633845,0.045370252242024,60.0,0.0,60.0,15.0,75.0,90.0,0.0
PHASE_000,0.0,5,170705,550.0,97.6,60.0,90.0,30.0,55.0,55.0,330,5.0,30,29,0.0,12,13.9375,16,0.825118919521577,10.0,0.5555555555555556,,,2.6153933683010884,0.5015053153079024,4.214491990093631,0.9499949808840916,24.098023969299255,0.5837128114183162,0.3725393785756844,2.9600385393462165,95.64102564102565,0.10396796195658907,0.19717232266916476,5.0,55.0,60.0,30.0,90.0,105.0,0.0
PHASE_000,0.0,5,170705,550.0,97.6,60.0,90.0,30.0,30.0,30.0,180,30.0,180,179,0.0,12,13.9375,16,0.825118919521577,10.0,0.5555555555555556,0.5683267780673558,,1.8216255931790775,0.37622299431330486,3.798091245631698,0.5631864167668238,7.425055603146307,0.5355037502753035,0.32283326005028506,2.9187181034294762,94.25925925925925,0.10396796195658907,0.19717232266916476,30.0,30.0,60.0,30.0,90.0,105.0,0.0
PHASE_000,0.0,5,170705,550.0,97.6,60.0,90.0,30.0,0.0,0.0,0,60.0,360,359,0.0,12,13.9375,16,0.825118919521577,10.0,0.5555555555555556,0.33313758115271436,0.4113950217644244,0.5363757747567109,0.29575606189615716,0.7080832105649743,0.39029571268757635,2.6312388668014415,0.3780562312119653,0.3209477455541226,2.943285313810572,92.63888888888889,0.10396796195658907,0.19717232266916476,60.0,0.0,60.0,30.0,90.0,105.0,0.0
